 children, income,numHandsets,handsetAge,smartPhone,currentHandsetPrice, creditRating,homeOwner, creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn,,,,
 false,0,1,184, true,0, E, true, false,10.01,169,9.8,0,0,0,0,10.81,0,0,2.814258912,0,0,6,0.33,0,0,0, true,,+AC0-50.355,+AC0-7.6004,+AC0-41.32273582
 false,0,1,183, true,0, B, true, false,35.31,52,44.99,0,0,5.58,1.8374,0.89,1.33,1.67,0.538106236,5.53063055,0.33,6,0,0,0,0, false,,+AC0-44.775,+AC0-5.763,+AC0-35.79210527
 true,2,1,182, true,0, A, false, true,30.26,41,29.99,0,0,5.7,1.912,0,0,0,3.511278195,5.54878223,1,6,0,0,0,0, true,,+AC0-44.655,+AC0-5.6884,+AC0-35.77395359
 false,0,1,183, true,0, E, true, false,51.66,205,49.99,1.75,0.49,11.6,2.0324,47.26,42.33,9.67,1.386923295,6.38474841,1,6,0,0,0,0, false,,+AC0-38.755,+AC0-5.568,+AC0-34.93798741
 false,6,1,196, true,0, B, false, true,38.24,1383,54.99,1.25,0,13.31,2.0756,132.82,9.67,7.67,0.527637358,6.76160357,1.33,6,15.67,0,0,0, false,,+AC0-37.045,+AC0-5.5248,+AC0-34.56113225
 true,9,2,110, true,199.99, B, false, true,38.74,228.25,29.99,0,0,13.85,2.0856,41.06,15,0.33,0.898112796,7.03578033,1.33,6,0,0,0,0, true,,+AC0-36.505,+AC0-5.5148,+AC0-34.28695549
 false,5,1,183, true,0, B, false, true,28.92,186.5,44.99,0,0,15.295,2.1726,27.29,18,8.33,2.021612903,7.07147632,1.33,6,0,0,0,0, false,,+AC0-35.06,+AC0-5.4278,+AC0-34.2512595
 true,9,1,183, true,0, B, false, true,39.89,297,44.99,12.25,0,15.64,2.5228,70.84,14.67,12.33,1.36589828,7.53423966,1.67,6,0,0,0,1, false,,+AC0-34.715,+AC0-5.0776,+AC0-33.78849616
 false,0,1,192, true,0, E, true, false,66.1,520.25,54.99,78,0.44,18.235,2.7118,61.37,6.67,4.33,1.291666667,8.00262375,1.67,6,1.33,0,0,0, true,,+AC0-32.12,+AC0-4.8886,+AC0-33.32011207
 false,0,1,187, true,0, D, true, false,22.49,171.25,44.99,0,0,19.255,2.7174,58.73,19.33,3,0.438333333,8.13090359,2,6,0,0,0,0, true,,+AC0-31.1,+AC0-4.883,+AC0-33.19183223
 true,9,1,182, true,0, B, false, true,56.26,250.25,29.99,51,3.05,19.405,2.9338,7.85,10.67,3.33,0.415592647,8.7362578,2,6,0,0,0,0, true,,+AC0-30.95,+AC0-4.6666,+AC0-32.58647802
 false,6,1,182, true,0, E, false, true,34.66,204.5,44.99,0,0,20.2,3.1514,26.51,5.67,1.33,1.072280448,8.84371595,2,6,0,0,0,0, false,,+AC0-30.155,+AC0-4.449,+AC0-32.47901987
 true,6,1,186, true,0, E, false, true,30.51,108.5,39.99,0,0,20.59,3.4004,14.86,2,0,1.354375,9.58715993,2,6,0,0,0,0, false,,+AC0-29.765,+AC0-4.2,+AC0-31.73557589
 true,1,1,183, true,0, B, false, true,56.17,500.25,44.99,0.5,0,21.4,3.4032,26.24,20.67,1.33,0.644230769,10.23772666,2.33,6,13.33,0,0,0, false,,+AC0-28.955,+AC0-4.1972,+AC0-31.08500916
 false,9,1,185, true,0, B, false, true,35.54,160.5,49.99,0,0.24,21.43,3.436,7.23,1.33,0,1.792140641,10.37754357,2.33,6,0.67,0,0,0, false,,+AC0-28.925,+AC0-4.1644,+AC0-30.94519225
 true,7,1,186, true,0, D, false, true,35.57,92,44.99,0.25,0.24,21.625,3.4788,27.34,2.67,0,1.573888889,10.54660929,2.67,6,0,0,0,0, false,,+AC0-28.73,+AC0-4.1216,+AC0-30.77612653
 true,8,1,191, true,0, B, false, true,74.24,195.25,79.99,0,7.77,21.865,3.6356,29.21,10,3,2.08,10.71438505,3.33,6,0,0,0,0, false,,+AC0-28.49,+AC0-3.9648,+AC0-30.60835077
 false,7,2,30, true,29.99, C, false, true,70.83,429,44.99,101.5,0,22.075,3.6678,17.22,15.67,7.67,1.16929334,10.90888257,3.67,6,1,0,0,0, false,,+AC0-28.28,+AC0-3.9326,+AC0-30.41385325
 false,0,1,192, true,0, C, true, false,58.59,259,44.99,53.75,0.1,22.53,3.7292,53.4,5,0,4.839416058,10.92743755,3.67,6,0,0,0,0, true,,+AC0-27.825,+AC0-3.8712,+AC0-30.39529827
 true,6,1,193, true,0, C, false, true,33.95,447.75,44.99,0,0.1,22.64,3.799,19.09,6.67,0.67,0.638888889,11.71051688,3.67,6,3.33,0,0,0, true,,+AC0-27.715,+AC0-3.8014,+AC0-29.61221894
 false,0,1,181, true,0, D, true, false,41.91,352.75,49.99,0.5,0,23.245,3.8038,72.91,8.67,0.33,0.822879288,11.86027654,4,6,1,0,0,1, true,,+AC0-27.11,+AC0-3.7966,+AC0-29.46245928
 true,7,1,189, true,0, E, false, true,39.45,666.25,44.99,0,3.63,23.26,3.8474,141.33,13.67,0,0.377241426,11.91508591,4,6,0,0,0,0, false,,+AC0-27.095,+AC0-3.753,+AC0-29.40764991
 false,9,1,186, true,0, B, false, true,31.33,246.5,39.99,0.5,0.87,23.445,3.9252,59.97,10,2,1.483186756,11.92249322,4,6,0,0,0,0, false,,+AC0-26.91,+AC0-3.6752,+AC0-29.4002426
 true,4,1,186, true,0, D, false, true,46.02,1176.25,43.78,13.25,0,23.49,4.0292,34.53,17.67,4,0.378536955,12.07183951,4.33,6,11.33,0,0,0, true,,+AC0-26.865,+AC0-3.5712,+AC0-29.25089631
 false,4,1,188, true,0, C, false, true,33.5,447,39.99,9.25,0,23.545,4.0876,60.83,18.33,10,1.436383472,12.18458524,5,6,12.33,0,0,0, false,,+AC0-26.81,+AC0-3.5128,+AC0-29.13815058
 true,6,1,191, false,0, E, false, true,51.93,388.5,59.99,0,0,23.645,4.2564,176.86,17.33,2.67,0.890281488,12.28697549,5,6,0,0,0,0, true,,+AC0-26.71,+AC0-3.344,+AC0-29.03576033
 false,0,1,183, true,0, E, true, false,72.28,985.5,65.37,44.5,4.43,23.8,4.2764,80.8,12.33,1,1.307869836,12.66816181,5,6,4.33,0,0,0, false,,+AC0-26.555,+AC0-3.324,+AC0-28.65457401
 false,5,1,186, true,0, D, false, true,96.73,965.75,44.99,152.5,0,24.355,4.3796,324.41,21.33,0.33,0.78474371,12.75751284,5.33,6,9.33,0,0,1, true,,+AC0-26,+AC0-3.2208,+AC0-28.56522298
 false,9,2,64, true,129.99, B, false, true,58.81,170.25,29.99,0,0,24.595,4.4212,14.2,12.33,2,0.705352913,12.76369279,6.33,6,0,1,1,0, true,,+AC0-25.76,+AC0-3.1792,+AC0-28.55904303
 false,2,1,191, true,0, E, true, false,87.05,1155.25,59.99,85.25,0,24.605,4.4486,371.13,28.33,20.33,0.879604178,12.7941079,6.33,6,6,0,0,0, true,,+AC0-25.75,+AC0-3.1518,+AC0-28.52862792
 false,3,1,192, true,0, C, true, true,36.91,460.5,44.99,1.75,0,24.985,4.4532,106.97,26.33,1.33,0.518680704,12.80289465,6.67,6,1.33,0,0,0, true,,+AC0-25.37,+AC0-3.1472,+AC0-28.51984117
 false,9,1,186, true,0, A, false, true,76.8,318,67.86,29.75,0,25.365,4.5012,58.17,10.33,2.33,4.776444111,12.86122984,6.67,6,0,0,0,0, true,,+AC0-24.99,+AC0-3.0992,+AC0-28.46150598
