X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
3,4,12,1,92.6,46.5,691.8,132,20.6,24,5.4,0,0
4,3,12,1,92.6,46.5,691.8,371,13.8,50,2.7,0,0
2,5,12,1,92.6,46.5,691.8,514,15.4,35,0.9,0,0
7,3,12,7,90.6,43.7,686.9,265,17.8,27,4,0,0
4,4,12,7,90.6,43.7,686.9,359,18.4,25,3.1,0,0
7,4,12,6,90,41.5,682.6,100,11.3,60,5.4,0,0
3,5,12,4,91.4,37.9,673.8,281,15.9,46,3.6,0,0
6,3,12,3,90.6,35.4,669.1,212,21.7,24,4.5,0,0
7,4,12,3,90.6,35.4,669.1,515,18,33,0.9,0,0
8,5,12,2,84.9,32.8,664.2,154,16.7,47,4.9,0,0
2,5,11,6,90.3,290,855.3,277,16.2,58,3.6,0,0
7,4,11,5,89.7,287.2,849.3,284,19.4,45,3.6,0,0
7,4,11,4,89.7,284.9,844,222,10.5,77,4,0,0
4,5,11,1,91,276.3,825.1,30,13.8,77,7.6,0,0
3,4,11,4,91.2,134.7,817.5,399,18.5,30,2.7,0,0
4,5,11,3,91.1,132.3,812.1,307,16.4,27,3.6,0,0
6,3,11,2,91.5,130.1,807.1,140,12.2,66,4.9,0,0
4,3,11,6,92.5,122,789.7,240,17.3,45,4,0,0
6,3,11,6,92.5,122,789.7,278,15.9,55,3.6,0,0
6,3,11,5,92.8,119,783.5,41,18.9,34,7.2,0,0
6,5,11,4,92.6,115.4,777.1,170,24.3,27,4.9,0,0
6,5,11,3,91.9,111.7,770.3,325,19.6,45,3.1,0,0
2,3,11,2,91.6,108.4,764,106,18,51,5.4,0,0
7,4,11,2,91.6,108.4,764,427,19.3,44,2.2,0,0
2,5,11,2,91.6,108.4,764,428,19.3,44,2.2,0,0
7,4,11,1,92.4,105.8,758.1,403,25.3,27,2.7,0,0
2,4,11,1,92.4,105.8,758.1,457,24.9,27,2.2,0,0
2,4,11,1,92.4,105.8,758.1,473,16,45,1.8,0,0
4,3,11,7,92.2,102.3,751.5,264,23.5,27,4,0,0
1,4,11,7,92.2,102.3,751.5,351,24.2,27,3.1,0,0
3,3,11,7,92.2,102.3,751.5,352,24.2,27,3.1,0,0
5,4,11,7,92.2,102.3,751.5,354,24.1,27,3.1,0,0
4,4,11,6,92.1,99,745.3,57,15.4,53,6.3,0,0
4,4,11,6,92.1,99,745.3,162,20.8,35,4.9,0,0
4,5,11,5,92.4,96.2,739.4,92,18.6,24,5.8,0,0
4,4,11,4,90.1,82.9,735.7,137,12.9,74,4.9,0,0
4,3,11,3,90.3,80.7,730.2,144,17.8,63,4.9,0,0
6,3,11,3,90.3,80.7,730.2,183,18.2,62,4.5,0,0
4,4,11,1,93.5,149.3,728.6,160,22.9,39,4.9,0,0
6,3,11,1,93.5,149.3,728.6,291,22.8,39,3.6,0,0
1,2,11,1,93.5,149.3,728.6,298,25.3,36,3.6,0,0
5,4,11,2,91.8,78.5,724.3,389,19.1,38,2.7,0,0
3,4,11,2,91.8,78.5,724.3,395,18.9,35,2.7,0,0
6,3,11,2,91.8,78.5,724.3,398,21.2,32,2.7,0,0
1,5,11,7,93.4,145.4,721.4,402,29.6,27,2.7,0,0
6,3,11,1,91.7,75.6,718.3,294,17.7,39,3.6,0,0
7,4,11,1,89.6,84.1,714.3,104,17.1,53,5.4,0,0
6,5,11,6,93.3,141.2,713.9,110,22.9,44,5.4,0,0
3,4,11,6,93.3,141.2,713.9,280,18.6,49,3.6,0,0
7,5,11,7,92.8,73.2,713,251,19.3,38,4,0,0
6,3,11,2,88.6,91.8,709.9,29,11.2,78,7.6,0,0
1,3,11,2,88.6,91.8,709.9,53,12.4,73,6.3,0,0
6,3,11,6,88.6,69.7,706.8,480,20.6,37,1.8,0,0
2,4,11,1,50.4,46.2,706.6,52,12.2,78,6.3,0,0
1,2,11,5,92.9,137,706.4,445,22.4,34,2.2,0,0
1,2,11,5,92.9,137,706.4,456,25.4,27,2.2,0,0
4,3,11,5,92.9,137,706.4,459,27.7,24,2.2,0,0
4,5,11,5,92.9,137,706.4,485,22.1,34,1.8,0,0
4,4,11,5,92.9,137,706.4,504,20.8,17,1.3,0,0
3,4,11,1,89.7,90,704.4,292,22.8,39,3.6,0,0
8,5,11,1,89.7,90,704.4,412,17.8,67,2.2,0,0
6,5,11,4,92.9,133.3,699.6,216,26.4,21,4.5,0,0
7,5,11,7,92.5,88,698.6,39,17.8,51,7.2,0,0
7,5,11,7,92.5,88,698.6,248,22.8,40,4,0,0
4,4,11,7,92.5,88,698.6,373,19.6,48,2.7,0,0
3,4,11,3,91,129.5,692.6,55,13.9,59,6.3,0,0
8,6,11,3,91,129.5,692.6,97,13.1,63,5.4,0,0
3,4,11,6,94.3,85.1,692.3,107,19.8,50,5.4,0,0
5,4,11,6,94.3,85.1,692.3,151,20.1,47,4.9,0,0
7,4,11,6,94.3,85.1,692.3,152,20.1,47,4.9,0,0
5,6,11,4,94.3,85.1,692.3,268,25.9,24,4,0,0
5,6,11,2,90.9,126.5,686.5,273,14.7,70,3.6,0,0
3,6,11,2,90.9,126.5,686.5,313,15.6,66,3.1,0,0
6,5,11,2,90.9,126.5,686.5,432,21.3,42,2.2,0,0
1,5,11,2,90.9,126.5,686.5,433,21,42,2.2,0,0
8,3,11,5,93.7,80.9,685.2,174,23.2,26,4.9,0,0
